ts_code,symbol,name,list_date,delist_date
M0708.DCE,M0708,¶¹ÆÉ0708,20060815,20070814
M0105.DCE,M0105,¶¹ÆÉ0105,20000717,20010521
M1103.DCE,M1103,¶¹ÆÉ1103,20100315,20110314
P1103.DCE,P1103,×ØéµÓÍ1103,20100315,20110314
Y1103.DCE,Y1103,¶¹ÓÍ1103,20100315,20110314
JD2002.DCE,JD2002,¼¦µ°2002,20190226,20200225
A2003.DCE,A2003,¶¹Ò»2003,20190315,20200313
B2003.DCE,B2003,¶¹¶þ2003,20190315,20200313
BB2003.DCE,BB2003,½ººÏ°å2003,20190315,20200313
C2003.DCE,C2003,ÓñÃ×2003,20190315,20200313
CS2003.DCE,CS2003,ÓñÃ×µí·Û2003,20190315,20200313
FB2003.DCE,FB2003,ÏËÎ¬°å2003,20190315,20200313
I2003.DCE,I2003,Ìú¿óÊ¯2003,20190315,20200313
J2003.DCE,J2003,½¹Ì¿2003,20190315,20200313
JM2003.DCE,JM2003,½¹Ãº2003,20190315,20200313
L2003.DCE,L2003,ËÜÁÏ2003,20190315,20200313
M2003.DCE,M2003,¶¹ÆÉ2003,20190315,20200313
P2003.DCE,P2003,×ØéµÓÍ2003,20190315,20200313
PP2003.DCE,PP2003,¾Û±ûÏ©2003,20190315,20200313
V2003.DCE,V2003,PVC2003,20190315,20200313
Y2003.DCE,Y2003,¶¹ÓÍ2003,20190315,20200313
V1104.DCE,V1104,PVC1104,20100416,20110418
B2004.DCE,B2004,¶¹¶þ2004,20190416,20200415
BB2004.DCE,BB2004,½ººÏ°å2004,20190416,20200415
FB2004.DCE,FB2004,ÏËÎ¬°å2004,20190416,20200415
I2004.DCE,I2004,Ìú¿óÊ¯2004,20190416,20200415
J2004.DCE,J2004,½¹Ì¿2004,20190416,20200415
JM2004.DCE,JM2004,½¹Ãº2004,20190416,20200415
L2004.DCE,L2004,ËÜÁÏ2004,20190416,20200415
P2004.DCE,P2004,×ØéµÓÍ2004,20190416,20200415
PP2004.DCE,PP2004,¾Û±ûÏ©2004,20190416,20200415
L1105.DCE,L1105,ËÜÁÏ1105,20100518,20110516
B1105.DCE,B1105,¶¹¶þ1105,20100518,20110516
Y1105.DCE,Y1105,¶¹ÓÍ1105,20100518,20110516
B0601.DCE,B0601,¶¹¶þ0601,20041222,20060117
P1106.DCE,P1106,×ØéµÓÍ1106,20100618,20110615
P0810.DCE,P0810,×ØéµÓÍ0810,20071029,20081017
B0509.DCE,B0509,¶¹¶þ0509,20041222,20050914
C1107.DCE,C1107,ÓñÃ×1107,20100715,20110714
P1107.DCE,P1107,×ØéµÓÍ1107,20100715,20110714
V1107.DCE,V1107,PVC1107,20100715,20110714
P1108.DCE,P1108,×ØéµÓÍ1108,20100816,20110812
Y1108.DCE,Y1108,¶¹ÓÍ1108,20100816,20110812
L1108.DCE,L1108,ËÜÁÏ1108,20100816,20110812
L1109.DCE,L1109,ËÜÁÏ1109,20100915,20110915
V1109.DCE,V1109,PVC1109,20100915,20110915
A1203.DCE,A1203,¶¹Ò»1203,20100915,20120314
RR2009.DCE,RR2009,¾¬Ã×2009,20190917,20200914
P2009.DCE,P2009,×ØéµÓÍ2009,20190917,20200914
A2009.DCE,A2009,¶¹Ò»2009,20190917,20200914
Y2009.DCE,Y2009,¶¹ÓÍ2009,20190917,20200914
V2009.DCE,V2009,PVC2009,20190917,20200914
PP2009.DCE,PP2009,¾Û±ûÏ©2009,20190917,20200914
M2009.DCE,M2009,¶¹ÆÉ2009,20190917,20200914
L2009.DCE,L2009,ËÜÁÏ2009,20190917,20200914
JM2009.DCE,JM2009,½¹Ãº2009,20190917,20200914
J2009.DCE,J2009,½¹Ì¿2009,20190917,20200914
I2009.DCE,I2009,Ìú¿óÊ¯2009,20190917,20200914
FB2009.DCE,FB2009,ÏËÎ¬°å2009,20190917,20200914
CS2009.DCE,CS2009,ÓñÃ×µí·Û2009,20190917,20200914
C2009.DCE,C2009,ÓñÃ×2009,20190917,20200914
BB2009.DCE,BB2009,½ººÏ°å2009,20190917,20200914
B2009.DCE,B2009,¶¹¶þ2009,20190917,20200914
L1110.DCE,L1110,ËÜÁÏ1110,20101022,20111021
P1110.DCE,P1110,×ØéµÓÍ1110,20101022,20111021
V1110.DCE,V1110,PVC1110,20101022,20111021
M1111.DCE,M1111,¶¹ÆÉ1111,20101115,20111114
P1111.DCE,P1111,×ØéµÓÍ1111,20101115,20111114
RR2010.DCE,RR2010,¾¬Ã×2010,20191022,20201022
Y0711.DCE,Y0711,¶¹ÓÍ0711,20061115,20071114
Y1112.DCE,Y1112,¶¹ÓÍ1112,20101215,20111214
M1112.DCE,M1112,¶¹ÆÉ1112,20101215,20111214
V1112.DCE,V1112,PVC1112,20101215,20111214
L1112.DCE,L1112,ËÜÁÏ1112,20101215,20111214
P1112.DCE,P1112,×ØéµÓÍ1112,20101215,20111214
Y0812.DCE,Y0812,¶¹ÓÍ0812,20071217,20081212
EB2011.DCE,EB2011,±½ÒÒÏ©2011,20191127,20201125
A0411.DCE,A0411,¶¹Ò»0411,20030526,20041112
B1201.DCE,B1201,¶¹¶þ1201,20110118,20120117
C1201.DCE,C1201,ÓñÃ×1201,20110118,20120117
L1201.DCE,L1201,ËÜÁÏ1201,20110118,20120117
V1201.DCE,V1201,PVC1201,20110118,20120117
Y1201.DCE,Y1201,¶¹ÓÍ1201,20110118,20120117
M0103.DCE,M0103,¶¹ÆÉ0103,20000717,20010314
M0605.DCE,M0605,¶¹ÆÉ0605,20050523,20060519
L1202.DCE,L1202,ËÜÁÏ1202,20110222,20120214
V1202.DCE,V1202,PVC1202,20110222,20120214
M0703.DCE,M0703,¶¹ÆÉ0703,20060315,20070314
V1203.DCE,V1203,PVC1203,20110315,20120314
M1203.DCE,M1203,¶¹ÆÉ1203,20110315,20120314
B1203.DCE,B1203,¶¹¶þ1203,20110315,20120314
L1203.DCE,L1203,ËÜÁÏ1203,20110315,20120314
P1204.DCE,P1204,×ØéµÓÍ1204,20110419,20120418
